Title_ID,Serial_Num,XMID,Full_Name,Title_Name,Filename,AKA,Features,Publisher,Region,XBE_Rating,Cover_Rating,Cover_Stats,UPC,Version,Media_Type,Init_Flags,Entry_Point,Cert_Timestamp,XDK_Ver,Redump_MD5,XBE_MD5
4143000C,AC-012,AC01202E,Urban Freestyle Soccer ,Urban Freestyle Soccer,"Urban Freestyle Soccer (Europe) (En,Fr,De,Es,It)","[[""Freestyle Street Soccer"", ""AC01203A""]]",,Acclaim Entertainment,(4) PAL,(0) RP - ALL,,"[""PAL-GBR"", ""PAL-DEU""]",,0x00000002,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8F0208B) Retail,Fri Oct 31 04:43:28 2003,5558,db5192396235049bd41d523ce0ad7ea6,0E6F5EE8365AE54327BAB06E6F869878
4143000C,AC-012,AC01203A,Freestyle Street Soccer ,Freestyle Street Soccer,Freestyle Street Soccer (USA),"[[""Urban Freestyle Soccer"", ""AC01202E""]]",,Acclaim Entertainment,(1) USA / Canada,(3) T - Teen,,"[""NTSC-U"", ""NTSC-U-Blockbuster""]",,0x00000003,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8F03D1B) Retail,Sat Nov 01 07:55:15 2003,5558,8b804f18a6081634e201673aadf22e91,5023FD241FFF8329C80BBFE49BDB1A50
4143000D,AC-013,AC01301E,AFL Live 2003,AFL Live 2003,AFL Live 2003 (Australia),,"{""0"":[[1,1,1,4],[0,3],[0,5],[0,6]]}",Acclaim Entertainment,(4) PAL,(0) RP - ALL,"[[""ACB"",""94-G"",[]]]","[""PAL-AUS""]","[""9325459004579""]",0x00000001,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8F7D548) Retail,Fri Oct 04 18:28:04 2002,4531,6cceccbb4da18b4a348d39968b38d125,30113D98619D406213FEF90A958D5B8A
4143000E,AC-014,AC01402E,BMX XXX,BMX XXX,"BMX XXX (Europe) (En,Fr,De,Es)",,"{""0"":[[1,1,1,2],[0,3],[1,5],[0,6],[0,2],[0,9],[0,0],[0,0]]}",Acclaim Entertainment,(4) PAL,(0) RP - ALL,"[[""ELSPA"",""18"",[]],[""USK"",""94-16"",[16]]]","[""PAL-GBR"", ""PAL-DEU""]","[""3455194029417"",""3455194029431""]",0x00000002,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8ED910F) Retail,Mon Nov 11 21:16:23 2002,5120,ee1bf5152ad9874bc6c307a99f59cea7,394C228DBB0873AB638D061A155A4A94
4143000E,AC-014,AC01401A,BMX XXX ,BMX XXX,BMX XXX (USA),,"{""0"":[[1,1,1,2],[0,3],[1,5],[0,6],[0,2],[0,9],[0,0],[0,0]]}",Acclaim Entertainment,(1) USA / Canada,(2) M - Mature,"[[""ESRB"",""00-M"",[6,15,22,24]]]","[""NTSC-U""]","[""021481402947""]",0x00000001,(0x00000002) XBOX DVD,(0x00000001) Mount Utility Drive,(0xA8ED9F0F) Retail,Tue Oct 29 08:27:51 2002,5028,d5fd5c296e12afab147d44dd1b32de94,FD450DA3B685C74E1D5CFB6CA22EE06E
4143000F,AC-015,AC01501A,Legends of Wrestling II,Legends of Wrestling 2,Legends of Wrestling II (USA),,"{""0"":[[1,1,1,4],[0,3],[1,5],[1,6],[0,2],[0,9],[0,0],[0,0]]}",Acclaim Entertainment,(1) USA / Canada,(3) T - Teen,"[[""ESRB"",""00-T"",[3,31]]]","[""NTSC-U""]","[""""]",0x00000001,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8EEB3E7) Retail,Sat Nov 16 07:51:54 2002,4831,2f2bd863545124a713199131feadbc64,547A4AF2C36642B85A71D496567DF8AA
4143000F,AC-015,AC01502E,Legends of Wrestling II,Legends of Wrestling 2,Legends of Wrestling II (Europe),,,Acclaim Entertainment,(4) PAL,(0) RP - ALL,,"[""PAL-GBR"", ""PAL-FRA""]",,0x00000002,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8EEB677) Retail,Tue Nov 19 21:04:34 2002,4831,1f9d6268e18ed1e8126975c15d307241,800EF6E83A68CF7C76FCBDCD9B9D215D
41430010,AC-016,AC01601A,SX Superstar ,SX Superstar,SX Superstar (USA),,"{""0"":[[1,1,1,2],[0,3],[0,5],[1,6],[0,2],[0,9],[0,0],[0,0]]}",Acclaim Entertainment,(1) USA / Canada,(3) T - Teen,,"[""NTSC-U""]",,0x00000001,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8F0A2B6) Retail,Sat May 31 06:21:55 2003,5233,2d30a66f2a1ec6e3ddabfcf5b3732129,C3061FA3A7CC0B8A198FD9C9446F589D
41430010,AC-016,AC01602E,SX Superstar ,SX Superstar,"SX Superstar (Europe) (En,Fr,De,Es)",,"{""0"":[[1,1,1,2],[1,4,3],[0,5],[1,6],[0,2],[0,0],[0,0],[0,0]]}",Acclaim Entertainment,(4) PAL,(0) RP - ALL,"[[""ELSPA"",""3"",[]],[""USK"",""03-0"",[0]],[""ACB"",""94-M15"",[]]]","[""PAL-GBR"", ""PAL-DEU"", ""PAL-AUS""]","["""",""3455194030734"",""3455194030710""]",0x00000002,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8F0A036) Retail,Tue Jun 03 20:35:34 2003,5233,2e66fdcaf2c0db260a9f3ee0f3909a19,C120A1A0F5C9D0EBAA00F4211EC9334D
41430013,AC-019,AC01901A,NBA Jam ,NBA Jam 2004,NBA Jam (USA),,"{""0"":[[1,1,1,4],[1,3,4],[0,5],[1,6],[0,2],[0,8],[0,0],[1,28],[0,27],[0,32],[0,31],[0,30]]}",Acclaim Entertainment,(1) USA / Canada,(4) E - Everyone,"[[""ESRB"",""03-E"",[]]]","[""NTSC-U""]","[""021481403159""]",0x00000001,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8FD9028) Retail,Wed Sep 10 05:59:19 2003,5659,bba131557850da9ed4e3066110f3bdcb,8912E418BE0071B1036ED8F6296E37BD
41430013,AC-019,AC01903E,NBA Jam ,NBA Jam 2004,"NBA Jam (Europe) (En,Fr,De)",,,Acclaim Entertainment,(4) PAL,(0) RP - ALL,,"[""PAL-FRA"", ""PAL-DEU"", ""PAL-AUS""]",,0x00000003,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8FE5EB7) Retail,Wed Sep 24 00:09:47 2003,5659,daa17eaf70aa787a3faca4636f79ce59,68623FCD8EE2799AE6C03B973F064390
