Title,Developer(s),Publisher(s),Release date
PAL,JP,NA
Call of Cthulhu: Dark Corners of the Earth,Headfirst Productions,2K Games,"Oct 28, 2005",Unreleased,"Oct 24, 2005"
Call of Duty: Finest Hour,Spark Unlimited Kuju Entertainment,Activision,"Nov 25, 2004 AUS Dec 3, 2004 EU","Oct 27, 2005","Nov 16, 2004"
Call of Duty 2: Big Red One,Treyarch,Activision,"Nov 18, 2005",Unreleased,"Nov 1, 2005"
Call of Duty 3,Treyarch,Activision,"Nov 10, 2006 EU Nov 22, 2006 AUS",Unreleased,"Nov 7, 2006"
Capcom Classics Collection Vol. 1,Backbone Entertainment,Capcom,"Nov 18, 2005",Unreleased,"Sep 27, 2005"
Capcom Classics Collection Vol. 2,Backbone Entertainment,Capcom,Unreleased,Unreleased,"Nov 14, 2006"
Capcom Fighting Evolution Capcom Fighting Jam (JP/PAL),Capcom Production Studio 2,Capcom,"Jun 24, 2005","Jun 16, 2005","Jun 14, 2005"
Capcom vs. SNK 2 EO,Capcom,Capcom,"Mar 7, 2003","Jan 16, 2003","Feb 11, 2003"
Carmen Sandiego: The Secret of the Stolen Drums,Artificial Mind and Movement,BAM! Entertainment,"Mar 5, 2004",Unreleased,"Sep 13, 2004"
Cars,Rainbow Studios,THQ,"Jun 8, 2006 AUS Jul 14, 2006 EU",Unreleased,"Jun 6, 2006"
Carve,Argonaut Games,Global Star Software,"Mar 19, 2004",Unreleased,"Feb 24, 2004"
Castlevania: Curse of Darkness,Konami,Konami,"Feb 17, 2006",Unreleased,"Nov 1, 2005"
The Cat in the Hat,Magenta Software,Vivendi Universal Games,"Mar 19, 2004","Mar 25, 2004","Nov 4, 2003"
Catwoman,Argonaut Games EA UK,EA Games,"Jul 30, 2004 AUS Aug 6, 2004 EU",Unreleased,"Jul 23, 2004"
Cel Damage,Pseudo Interactive,EA Games,"May 3, 2002",Unreleased,"Nov 15, 2001"
Celebrity Deathmatch,Big Ape Productions,Gotham Games,"Oct 31, 2003",Unreleased,"Oct 15, 2003"
Championship Bowling,Black Market Games,Evolved Games,Unreleased,Unreleased,"Mar 1, 2006"
Championship Manager: Season 01/02,Sports Interactive,Eidos Interactive,"Apr 14, 2002",Unreleased,Unreleased
Championship Manager: Season 02/03,Sports Interactive,Eidos Interactive,"Nov 29, 2002",Unreleased,Unreleased
Championship Manager 2006,Gusto Games,Eidos Interactive,"May 12, 2006",Unreleased,Unreleased
Championship Manager 5,Gusto Games,Eidos Interactive,"May 13, 2005",Unreleased,Unreleased
Charlie and the Chocolate Factory,High Voltage Software,Global Star Software,"Jul 22, 2005 EU Aug 26, 2005 AUS",Unreleased,"Jul 15, 2005"
Chase: Hollywood Stunt Driver,I-Imagine Interactive,BAM! Entertainment,"Oct 17, 2002",Unreleased,"Sep 24, 2002"
Chessmaster,Ubisoft Bucharest,Ubisoft,Unreleased,Unreleased,"Nov 1, 2004"
Chicago Enforcer,Touchdown Entertainment,Kemco,Unreleased,Unreleased,"Feb 23, 2005"
Chicken Little,Avalanche Software,Buena Vista Games,"Nov 11, 2005 AUS Jan 6, 2006 EU",Unreleased,"Oct 18, 2005"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Traveller's Tales,Buena Vista Games,"Mar 31, 2006",Unreleased,"Nov 15, 2005"
The Chronicles of Riddick: Escape from Butcher Bay,Starbreeze Studios Tigon Studios,Vivendi Universal Games,"Aug 13, 2004",Unreleased,"Jun 1, 2004"
Circus Maximus: Chariot Wars,Kodiak Interactive,Encore NA THQ PAL,"Jun 28, 2002",Unreleased,"Feb 26, 2002"
Classified: The Sentinel Crisis,Torus Games,Global Star Software,"Apr 29, 2006",Unreleased,"Apr 13, 2006"
Close Combat: First to Fight,Destineer,2K Games,"Apr 29, 2005",Unreleased,"Apr 7, 2005"
Club Football,Codemasters,Codemasters,"Oct 10, 2003",Unreleased,Unreleased
Club Football 2005,Codemasters,Codemasters,"Oct 15, 2004",Unreleased,Unreleased
Codename: Kids Next Door – Operation: V.I.D.E.O.G.A.M.E.,High Voltage Software,Global Star Software,"Dec 2, 2005",Unreleased,"Oct 11, 2005"
Cold Fear,Darkworks,Ubisoft,"Mar 30, 2005",Unreleased,"Mar 15, 2005"
Cold War,Mindware Studios,DreamCatcher Games,"Nov 7, 2005 AUS Nov 11, 2005 EU",Unreleased,"Sep 27, 2005"
Colin McRae Rally 04,Codemasters,Codemasters,"Sep 19, 2003",Unreleased,"Mar 2, 2004"
Colin McRae Rally 2005,Codemasters,Codemasters,"Sep 24, 2004",Unreleased,"Sep 28, 2004"
Colin McRae Rally 3,Codemasters,Codemasters,"Oct 25, 2002",Unreleased,"Feb 18, 2003"
College Hoops 2K6,Visual Concepts,2K Sports,Unreleased,Unreleased,"Nov 23, 2005"
College Hoops 2K7,Visual Concepts,2K Sports,Unreleased,Unreleased,"Nov 20, 2006"
Combat Elite: WWII Paratroopers,BattleBorne Entertainment,SouthPeak Interactive,Unreleased,Unreleased,"Nov 21, 2005"
Combat: Task Force 121,Direct Action Games,Groove Games,Unreleased,Unreleased,"Mar 22, 2005"
Commandos: Strike Force,Pyro Studios,Eidos Interactive,"Mar 17, 2006",Unreleased,"Apr 4, 2006"
Commandos 2: Men of Courage,Pyro Studios,Eidos Interactive,"Sep 13, 2002 EU Feb 6, 2004 AUS",Unreleased,"Sep 17, 2002"
Conan,Cauldron,TDK Mediactive Europe,"Apr 7, 2004 EU Apr 8, 2004 UK",Unreleased,Unreleased
Conflict: Desert Storm,Pivotal Games,SCi Games PAL Gotham Games NA,"Sep 13, 2002 EU Sep 20, 2002 AUS",Unreleased,"Oct 1, 2002"
Conflict: Desert Storm II,Pivotal Games,SCi Games PAL Gotham Games NA,"Sep 18, 2003 AUS Sep 19, 2003 EU",Unreleased,"Oct 7, 2003"
Conflict: Global Terror Conflict: Global Storm (PAL),Pivotal Games,SCi Games PAL 2K Games NA,"Sep 30, 2005",Unreleased,"Oct 6, 2005"
Conflict: Vietnam,Pivotal Games,SCi Games PAL Global Star Software NA,"Sep 3, 2004 EU Sep 11, 2004 AUS",Unreleased,"Oct 6, 2004"
Conker: Live & Reloaded,Rare,Microsoft Game Studios,"Jun 24, 2005 EU Jul 7, 2005 AUS","Jun 30, 2005","Jun 21, 2005"
Conspiracy: Weapons of Mass Destruction,Kuju Entertainment,Oxygen Interactive,"Aug 19, 2005",Unreleased,Unreleased
Constantine,Bits Studios,THQ NA SCi Games PAL Marvelous Entertainment JP,"Mar 4, 2005","Apr 21, 2005","Feb 17, 2005"
Corvette,Steel Monkeys,TDK Mediactive,Unreleased,Unreleased,"Dec 10, 2003"
Counter-Strike,Ritual Entertainment Turtle Rock Studios,Microsoft Game Studios,"Dec 5, 2003","Mar 25, 2004","Nov 18, 2003"
Crash Bandicoot: The Wrath of Cortex,Traveller's Tales,Universal Interactive,"Apr 26, 2002","Oct 24, 2002","Apr 16, 2002"
Crash 'n' Burn,Climax Racing,Eidos Interactive,"Dec 10, 2004",Unreleased,"Nov 15, 2004"
Crash Nitro Kart,Vicarious Visions,Universal Interactive,"Nov 28, 2003 EU Dec 3, 2003 AUS",Unreleased,"Nov 11, 2003"
Crash Tag Team Racing,Radical Entertainment,Vivendi Universal Games,"Nov 3, 2005 AUS Nov 4, 2005 EU",Unreleased,"Oct 21, 2005"
Crash Twinsanity,Traveller's Tales,Vivendi Universal Games,"Oct 8, 2004 EU Oct 28, 2004 AUS",Unreleased,"Sep 28, 2004"
Crazy Taxi 3: High Roller,Hitmaker,Sega,"Sep 20, 2002","Jul 25, 2002","Jul 23, 2002"
Cricket 2005,EA Canada HB Studios,EA Sports,"Jul 1, 2005 EU Jul 12, 2005 AUS",Unreleased,Unreleased
Crime Life: Gang Wars,Hothouse Creations,Konami,"Nov 11, 2005",Unreleased,"Nov 22, 2005"
Crimson Sea,Koei,Koei,"Mar 28, 2003","Dec 12, 2002","Dec 16, 2002"
Crimson Skies: High Road to Revenge,FASA Studio,Microsoft Game Studios,"Oct 31, 2003","May 20, 2004","Oct 21, 2003"
"Crouching Tiger, Hidden Dragon",Bergsala Lightweight Genki,Ubi Soft,"Jan 16, 2004",Unreleased,"Dec 9, 2003"
Crusty Demons,Fluent Entertainment,Deep Silver,Unreleased,Unreleased,"Jun 27, 2006"
CSI: Crime Scene Investigation,369 Interactive,Ubisoft,"Feb 4, 2005",Unreleased,"Dec 14, 2004"
Curious George,Monkey Bar Games,Namco,Unreleased,Unreleased,"Feb 1, 2006"
Curse: The Eye of Isis,Asylum Entertainment,DreamCatcher Interactive NA Wanadoo Edition PAL,"Nov 14, 2003",Unreleased,"Oct 28, 2003"
The Da Vinci Code,The Collective,2K Games,"May 19, 2006",Unreleased,"May 16, 2006"
Daemon Vector (Gui Yi) [ b ],XPEC Entertainment,XPEC Entertainment,Unreleased,"Jun 21, 2004 TW",Unreleased
Dai Senryaku VII: Modern Military Tactics Daisenryaku VII (JP),SystemSoft,SystemSoft JP Kemco NA,Unreleased,"May 29, 2004","Feb 16, 2005"
Dakar 2: The World's Ultimate Rally,Acclaim Studios Cheltenham,Acclaim Entertainment,"Jun 6, 2003",Unreleased,"Jun 19, 2003"
Dance Dance Revolution Ultramix Dancing Stage Unleashed (PAL),Konami Computer Entertainment Hawaii,Konami,"Mar 12, 2004",Unreleased,"Nov 19, 2003"
Dance Dance Revolution Ultramix 2 Dancing Stage Unleashed 2 (PAL),Konami Computer Entertainment Hawaii,Konami,"May 13, 2005",Unreleased,"Nov 18, 2004"
Dance Dance Revolution Ultramix 3 Dancing Stage Unleashed 3 (PAL),Konami Computer Entertainment Hawaii,Konami,"Mar 17, 2006",Unreleased,"Nov 15, 2005"
Dance Dance Revolution Ultramix 4,Konami Computer Entertainment Hawaii,Konami,Unreleased,Unreleased,"Nov 14, 2006"
Dance: UK,Broadsword Interactive,Bigben Interactive,"Jul 2, 2004",Unreleased,Unreleased
Dark Summit,Radical Entertainment,THQ,"Mar 22, 2002",Unreleased,"Nov 15, 2001"
Darkwatch,High Moon Studios,Capcom NA Ubisoft PAL,"Oct 6, 2005 AUS Oct 7, 2005 EU",Unreleased,"Aug 16, 2005"
Dave Mirra Freestyle BMX 2,Z-Axis,Acclaim Max Sports,"Mar 14, 2002",Unreleased,"Nov 29, 2001"
David Beckham Soccer,Rage Software,Rage Software,"Jun 7, 2002",Unreleased,Unreleased
Dead Man's Hand,Human Head Studios,Atari,"Apr 29, 2004","Sep 2, 2004","Mar 2, 2004"
Dead or Alive 3,Team Ninja,Tecmo NA/JP Microsoft Game Studios PAL,"Mar 14, 2002","Feb 22, 2002","Nov 15, 2001"
Dead or Alive 1 Ultimate,Team Ninja,Tecmo,"Feb 18, 2005","Nov 3, 2004","Oct 26, 2004"
Dead or Alive 2 Ultimate,Team Ninja,Tecmo,"Feb 18, 2005","Nov 3, 2004","Oct 26, 2004"
Dead or Alive Xtreme Beach Volleyball,Team Ninja,Tecmo,"Mar 28, 2003","Jan 23, 2003","Jan 21, 2003"
