Title,Developer(s),Publisher(s),Release date
Psi-Ops: The Mindgate Conspiracy,Midway Games,Midway Games,"02004-10-01 October 01, 2004"
Psychonauts,Double Fine Productions,Majesco Entertainment,"02006-02-10 February 10, 2006"
Psyvariar 2,SKONEC Entertainment,Success Corporation,Unreleased
Pulse Racer,Jaleco,Jaleco,Unreleased
Pump It Up: Exceed,Andamiro,Mastiff,Unreleased
Template:Sort,Volition,THQ,"02005-03-04 March 04, 2005"
Pure Pinball,Iridon,XS Games,Unreleased
Puyo Pop: Fever,Sonic Team,Sega,"02004-02-27 February 27, 2004"
Quantum Redshift,Curly Monsters,Microsoft Game Studios,"02002-10-04 October 04, 2002"
R: Racing Evolution,Namco,Namco,"02004-04-02 April 02, 2004"
RalliSport Challenge,Digital Illusions CE,Microsoft Game Studios,"02002-03-14 March 14, 2002"
RalliSport Challenge 2,Digital Illusions CE,Microsoft Game Studios,"02004-05-21 May 21, 2004"
Rally Fusion: Race of Champions,Climax Studios,Activision,"02002-11-22 November 22, 2002"
Rapala Pro Fishing,Fun Labs,Activision,"02005-08-04 August 04, 2005"
Ratatouille,Asobo Studio,THQ,Unreleased
Rayman 3: Hoodlum Havoc,Ubisoft Montpellier,Ubi Soft,"02003-03-14 March 14, 2003"
Rayman Arena,Ubi Soft,Ubi Soft,Unreleased
Raze's Hell,Artech Studios,Majesco Entertainment,"02006-02-17 February 17, 2006"
Real World Golf,In2Games,Mad Katz,Unreleased
Red Dead Revolver,Rockstar San Diego,Rockstar Games,"02004-06-11 June 11, 2004"
Red Faction II,Volition,THQ,"02003-06-06 June 06, 2003"
Red Ninja: End of Honor,Tranji Studios,Vivendi Universal Games,"02005-04-01 April 01, 2005"
RedCard 20-03,Point of View,Midway Games,"02002-07-12 July 12, 2002"
Reign of Fire,Kuju Entertainment,BAM! Entertainment,"02002-11-15 November 15, 2002"
Rent-A-Hero No. 1,Sega,AIA Games,Unreleased
Reservoir Dogs,Volatile Games,Eidos Interactive,"02006-08-25 August 25, 2006"
Return to Castle Wolfenstein: Tides of War,Gray Matter Studios,Activision,"02003-05-15 May 15, 2003"
Richard Burns Rally,Warthog Games,SCi,"02004-07-09 July 09, 2004"
Template:Sort,Digital Mayhem,Interplay Entertainment,"02004-06-18 June 18, 2004"
RoadKill,Midway Games,Midway Games,"02003-11-28 November 28, 2003"
Robin Hood: Defender of the Crown,Cinemaware,"Zoo Digital Group, Capcom","02003-11-28 November 28, 2003"
RoboCop,Titus Interactive Studio,Titus Interactive,"02003-12-12 December 12, 2003"
Robot Wars: Extreme Destruction,Climax Studios,Gamezlab,"02002-11-22 November 22, 2002"
Robotech: Battlecry,Vicious Cycle Software,TDK Mediactive,"02002-10-25 October 25, 2002"
Robotech: Invasion,Vicious Cycle Software,Global Star Software,"02004-08-17 August 17, 2004"
Robots,Eurocom,Vivendi Universal Games,"02005-03-11 March 11, 2005"
Rocky,Rage Software,Ubi Soft,"02002-10-18 October 18, 2002"
Rocky: Legends,Venom Games,Ubisoft,"02004-10-01 October 01, 2004"
Rogue Ops,Bits Studios,Kemco,"02004-02-06 February 06, 2004"
Rogue Trooper,Rebellion Developments,Eidos Interactive,"02006-04-21 April 21, 2006"
RollerCoaster Tycoon,Frontier Developments,Infogrames,"02003-03-25 March 25, 2003"
Rolling,Rage Software,Rage Software,"02003-10-24 October 24, 2003"
Room Zoom,Blade Interactive,Jaleco,"02004-07-14 July 14, 2004"
Rugby 06,"EA Canada , HB Studios",EA Sports,"02006-02-16 February 16, 2006"
Rugby 2005,EA Canada,EA Sports,"02005-03-18 March 18, 2005"
Rugby Challenge 2006,Swordfish Studios,"Hip Interactive, Ubisoft","02006-02-03 February 03, 2006"
Rugby League,Sidhe Interactive,"Home Entertainment Suppliers , Tru Blu Entertainment","02003-12-19 December 19, 2003"
Rugby League 2,Sidhe Interactive,Home Entertainment Suppliers,"02006-07-21 July 21, 2006"
Samurai Shodown V,SNK Playmore,SNK Playmore,"02006-05-26 May 26, 2006"
Samurai Warriors,Omega Force,Koei,"02004-09-24 September 24, 2004"
Scaler,A2M,[[NA| Take-Two Interactive ]] PAL,"02004-11-26 November 26, 2004"
Scarface: The World Is Yours,Radical Entertainment,Vivendi Games,"02006-10-13 October 13, 2006"
Scooby-Doo! Mystery Mayhem,A2M,THQ,"02004-03-26 March 26, 2004"
Scooby-Doo! Night of 100 Frights,Heavy Iron Studios,THQ,Unreleased
Scooby-Doo! Unmasked,A2M,THQ,"02005-09-16 September 16, 2005"
American McGee Presents: Scrapland,Mercury Steam Entertainment,Enlight,"02005-03-18 March 18, 2005"
SeaBlade,Simon & Schuster,Simon & Schuster,"02003-04-07 April 07, 2003"
SeaWorld: Shamu's Deep Sea Adventures,Activision,Activision,"02006-03-17 March 17, 2006"
Second Sight,Free Radical Design,Codemasters,"02004-09-21 September 21, 2004"
Secret Weapons Over Normandy,Totally Games,LucasArts,"02003-11-28 November 28, 2003"
Sega GT 2002,Wow Entertainment,Sega,"02002-11-08 November 08, 2002"
Sega GT Online,Wow Entertainment,Sega,"02004-02-06 February 06, 2004"
Sega Soccer Slam,Black Box Games,Sega,"02002-10-11 October 11, 2002"
Sensible Soccer 2006,Kuju Entertainment,Codemasters,"02006-06-09 June 09, 2006"
Sentou Yousei Yukikaze: Yousei no Mau Sora,Aquasystem,Aquasystem,Unreleased
Serious Sam,Croteam,Gathering of Developers,"02002-12-06 December 06, 2002"
Serious Sam II,Croteam,2K Games,"02005-10-14 October 14, 2005"
Shadow of Memories,Konami,Konami,"02002-11-08 November 08, 2002"
Shadow Ops: Red Mercury,Zombie Studios,Atari,"02004-06-18 June 18, 2004"
Shadow the Hedgehog,Sega Studios USA,Sega,"02005-11-18 November 18, 2005"
Shark Tale,Edge of Reality,Activision,"02004-10-01 October 01, 2004"
Shattered Union,PopTop Software,2K Games,"02005-10-21 October 21, 2005"
Shellshock: Nam '67,Guerrilla Games,Eidos Interactive,"02004-09-03 September 03, 2004"
Shenmue II,Sega AM2,Microsoft Game Studios,"02003-03-21 March 21, 2003"
Shikigami no Shiro,Alfa System,MediaQuest,Unreleased
Shikigami no Shiro Evolution,Alfa System,MediaQuest,Unreleased
Shikigami no Shiro II,Alfa System,MediaQuest,Unreleased
Shinchou Mahjong (Nobunaga Mahjong),Success,E-Frontier,Unreleased
Shin Megami Tensei: Nine,Next Entertainment,Atlus,Unreleased
Showdown: Legends of Wrestling,Acclaim Studios Austin,Acclaim Entertainment,"02004-07-02 July 02, 2004"
Shrek,Digital Illusions CE,TDK Mediactive,"02002-03-27 March 27, 2002"
Shrek 2,Luxoflux,Activision,"02004-06-18 June 18, 2004"
Shrek Super Party,Mass Media,TDK Mediactive,"02002-11-29 November 29, 2002"
Shrek SuperSlam,Shaba Games,Activision,"02005-11-18 November 18, 2005"
Sid Meier's Pirates!,Firaxis Games,2K Games,"02005-07-11 July 11, 2005"
Silent Hill 2,Konami,Konami,"02002-10-14 October 14, 2002"
Silent Hill 4: The Room,Konami,Konami,"02004-09-17 September 17, 2004"
Silent Scope Complete,Konami,Konami,"02004-03-19 March 19, 2004"
Template:Sort,Radical Entertainment,Vivendi Universal Games,"02003-10-31 October 31, 2003"
Template:Sort,Radical Entertainment,Electronic Arts,"02002-03-22 March 22, 2002"
Template:Sort,Edge of Reality,EA Games,"02003-04-04 April 04, 2003"
Template:Sort,Maxis,Electronic Arts,"02005-11-04 November 04, 2005"
Template:Sort,Maxis,EA Games,"02003-12-19 December 19, 2003"
Ski Racing 2005,ColdWood Interactive,JoWooD Productions,"02005-03-24 March 24, 2005"
Ski Racing 2006,ColdWood Interactive,JoWooD Productions Deep Silver,"02005-11-25 November 25, 2005"
Slam Tennis,Infogrames Sheffield House,Infogrames,"02002-08-23 August 23, 2002"
Smashing Drive,Point of View,Namco,Unreleased
Sneak King,Blitz Games,King Games,Unreleased
Sneakers Nezmix (JP),Media.Vision,Microsoft Game Studios,"02002-10-22 October 22, 2002"
Sniper Elite,Rebellion Developments,Namco,"02005-05-30 May 30, 2005"
Soldier of Fortune II: Double Helix,Gratuitous Games,Activision,"02003-06-27 June 27, 2003"
Sonic Heroes,Sonic Team USA,Sega,"02004-02-06 February 06, 2004"
Sonic Mega Collection Plus,Sonic Team,Sega,"02005-02-04 February 04, 2005"
Sonic Riders,"Sonic Team , Now Production",Sega,"02006-03-17 March 17, 2006"
Soulcalibur II,Namco,Namco,"02003-09-26 September 26, 2003"
Spartan: Total Warrior,Creative Assembly,Sega,"02005-10-07 October 07, 2005"
Spawn: Armageddon,Point of View,Namco,"02004-03-12 March 12, 2004"
Special Forces: Nemesis Strike Counter Terrorist Special Forces: Fire for Effect (EUR),Asobo Studio,Hip Games,"02005-04-01 April 01, 2005"
Speed Kings,Climax Group,Acclaim Entertainment,"02003-06-03 June 03, 2003"
Sphinx and the Cursed Mummy,Eurocom,THQ,"02004-02-20 February 20, 2004"
Spider-Man,Treyarch,Activision,"02002-06-07 June 07, 2002"
Spider-Man 2,Treyarch,Activision,"02004-07-09 July 09, 2004"
Spikeout: Battle Street,Dimps,Sega,"02005-04-22 April 22, 2005"
Splashdown,Rainbow Studios,Infogrames,"02002-08-30 August 30, 2002"
Splat Magazine Renegade Paintball,Cat Daddy Games,Take-Two Interactive,"02006-04-07 April 07, 2006"
SpongeBob SquarePants: Battle for Bikini Bottom,Heavy Iron Studios,THQ,"02003-11-10 November 10, 2003"
"SpongeBob SquarePants: Lights, Camera, Pants!",THQ Studio Australia,THQ,"02005-10-21 October 21, 2005"
Template:Sort,Heavy Iron Studios,THQ,"02005-02-18 February 18, 2005"
SpyHunter,Paradigm Entertainment,Midway Games,"02002-06-28 June 28, 2002"
Spy Hunter 2,Angel Studios,Midway Games,"02004-03-05 March 05, 2004"
Spy Hunter: Nowhere to Run,Terminal Reality,Midway Games,"02006-09-08 September 08, 2006"
Spy vs. Spy,Vicious Cycle Software,Global Star Software,"02005-04-29 April 29, 2005"
Spyro: A Hero's Tail,Eurocom,Vivendi Universal Games,"02004-11-12 November 12, 2004"
SSX 3,EA Canada,EA Sports BIG,"02003-10-31 October 31, 2003"
SSX On Tour,EA Canada,EA Sports BIG,"02005-10-21 October 21, 2005"
SSX Tricky,EA Canada,EA Sports BIG,"02002-06-14 June 14, 2002"
Stacked with Daniel Negreanu,5000 ft,Myelin Media,Unreleased
Stake: Fortune Fighters,Gameness Art,"Metro3D, Inc.","02003-06-06 June 06, 2003"
Star Trek: Shattered Universe,Starsphere,TDK Mediactive,"02004-04-17 April 17, 2004"
Star Wars Jedi Knight: Jedi Academy,Vicarious Visions,LucasArts,"02003-11-21 November 21, 2003"
Star Wars Jedi Knight II: Jedi Outcast,Vicarious Visions,LucasArts,"02002-11-22 November 22, 2002"
Star Wars: Battlefront,Pandemic Studios,LucasArts,"02004-09-24 September 24, 2004"
Star Wars: Battlefront II,Pandemic Studios,LucasArts,"02005-10-31 October 31, 2005"
Star Wars: Episode III – Revenge of the Sith,The Collective,LucasArts,"02005-05-06 May 06, 2005"
Star Wars: Jedi Starfighter,LucasArts,LucasArts,"02002-05-31 May 31, 2002"
Star Wars: Knights of the Old Republic,BioWare,LucasArts,"02003-09-12 September 12, 2003"
Star Wars Knights of the Old Republic II: The Sith Lords,Obsidian Entertainment,LucasArts,"02005-02-11 February 11, 2005"
Star Wars: Obi-Wan,LucasArts,LucasArts,"02002-03-29 March 29, 2002"
Star Wars: Republic Commando,LucasArts,LucasArts,"02005-03-04 March 04, 2005"
Star Wars: Starfighter Special Edition,LucasArts,LucasArts,Unreleased
Star Wars: The Clone Wars,Pandemic Studios,LucasArts,"02003-05-09 May 09, 2003"
Starsky & Hutch,Mind's Eye Productions,Empire Interactive,"02003-06-20 June 20, 2003"
State of Emergency,VIS Entertainment,Rockstar Games,"02003-04-04 April 04, 2003"
Steel Battalion,"Capcom , Nude Maker","Capcom , Microsoft Game Studios","02003-03-28 March 28, 2003"
Steel Battalion: Line of Contact,"Capcom , Nude Maker",Capcom,"02004-03-26 March 26, 2004"
Still Life,Microïds,The Adventure Company,"02005-06-03 June 03, 2005"
Stolen,Blue 52,Hip Interactive,"02005-04-01 April 01, 2005"
Street Fighter Anniversary Collection,Capcom,Capcom,"02004-10-29 October 29, 2004"
Street Hoops,Black Ops Entertainment,Activision,"02002-10-04 October 04, 2002"
Street Racing Syndicate,Eutechnyx,Namco,"02005-05-06 May 06, 2005"
Strike Force Bowling,LAB Rats Games,Crave Entertainment,Unreleased
Stubbs the Zombie in Rebel Without a Pulse,Wideload,Aspyr,"02006-02-10 February 10, 2006"
Sudeki,Climax,Microsoft Game Studios,"02004-08-24 August 24, 2004"
Template:Sort,Surreal Software,Midway Games,"02004-05-14 May 14, 2004"
Template:Sort,Surreal Software,Midway Games,"02005-10-28 October 28, 2005"
Super Bubble Pop,Zombie Studios,Jaleco,"02003-03-15 March 15, 2003"
Super Monkey Ball Deluxe,Sega,Sega,"02005-08-26 August 26, 2005"
Superman Returns,EA Tiburon,EA Games,"02006-11-24 November 24, 2006"
Superman: The Man of Steel,Circus Freak,Infogrames,"02002-12-13 December 13, 2002"
SVC Chaos: SNK vs. Capcom,Playmore,Playmore,"02005-03-18 March 18, 2005"
SWAT: Global Strike Team,Argonaut Games,Vivendi Universal Games,"02003-12-05 December 05, 2003"
SX Superstar,Climax Studios,AKA Acclaim,"02003-07-04 July 04, 2003"
Syberia,Microïds,XS Games,"02003-06-06 June 06, 2003"
Syberia II,Microïds,XS Games,"02004-11-26 November 26, 2004"
Taito Legends,Taito,"Empire Interactive , Sega","02005-10-14 October 14, 2005"
Taito Legends 2,Taito,Empire Interactive,"02006-03-31 March 31, 2006"
Tak: The Great Juju Challenge,Avalanche Software,THQ,"02006-03-03 March 03, 2006"
Tak 2: The Staff of Dreams,Avalanche Software,THQ,"02005-03-24 March 24, 2005"
Takahashi Junko no Mahjong Seminar,Success,Success,Unreleased
Tao Feng: Fist of the Lotus,Studio Gigante,Microsoft Game Studios,"02003-05-09 May 09, 2003"
Taz: Wanted,Blitz Games,Infogrames,"02002-09-27 September 27, 2002"
Tecmo Classic Arcade,Tecmo,Tecmo,"02005-10-21 October 21, 2005"
Teen Titans,Artificial Mind and Movement,"THQ , Majesco Entertainment",Unreleased
Teenage Mutant Ninja Turtles,Konami,Konami,"02004-04-16 April 16, 2004"
Teenage Mutant Ninja Turtles: Mutant Melee,KCE Hawaii,Konami,Unreleased
Teenage Mutant Ninja Turtles 2: Battle Nexus,Konami,Konami,"02005-03-11 March 11, 2005"
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,Konami,Konami,"02006-04-14 April 14, 2006"
Tenchu: Return from Darkness,K2 LLC,"Activision , FromSoftware (JP)","02004-03-19 March 19, 2004"
Tenerezza,Aqua Plus,Aqua Plus,Unreleased
Tennis Masters Series 2003,Microids,Hip Games,"02002-11-30 November 30, 2002"
Template:Sort,Paradigm Entertainment,Infogrames,"02002-10-25 October 25, 2002"
Terminator 3: Rise of the Machines,Black Ops Entertainment,Atari,"02002-11-28 November 28, 2002"
Terminator 3: The Redemption,Paradigm Entertainment,Atari,"02004-09-24 September 24, 2004"
Test Drive,Pitbull Syndicate,Infogrames,"02002-07-05 July 05, 2002"
Test Drive: Eve of Destruction,Monster Games,Atari,Unreleased
Test Drive: Off-Road Wide Open,Angel Studios,Infogrames,"02002-05-24 May 24, 2002"
Tetris Worlds,Radical Entertainment,THQ,"02002-09-20 September 20, 2002"
Tetris Worlds (Online Edition),Radical Entertainment,THQ,"02003-10-03 October 03, 2003"
Thief: Deadly Shadows,Ion Storm,Eidos Interactive,"02004-06-11 June 11, 2004"
Template:Sort,Computer Artworks,Vivendi Universal Games,"02002-09-20 September 20, 2002"
Thousand Land,FromSoftware,FromSoftware,Unreleased
Thrillville,Frontier Developments,LucasArts,Unreleased
Tiger Woods PGA Tour 2003,EA Redwood Shores,EA Sports,"02002-11-22 November 22, 2002"
Tiger Woods PGA Tour 2004,EA Redwood Shores,EA Sports,"02003-09-26 September 26, 2003"
Tiger Woods PGA Tour 2005,EA Redwood Shores,EA Sports,"02004-09-24 September 24, 2004"
Template:Sort,"EA Redwood Shores , Hypnos Entertainment",EA Sports,"02005-10-07 October 07, 2005"
Template:Sort,EA Redwood Shores,EA Sports,"02006-09-22 September 22, 2006"
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,Capcom,Buena Vista Games Capcom (EU),"02005-09-30 September 30, 2005"
TimeSplitters 2,Free Radical Design,Eidos Interactive,"02002-10-18 October 18, 2002"
TimeSplitters: Future Perfect,Free Radical Design,EA Games,"02005-03-24 March 24, 2005"
TOCA Race Driver 2: The Ultimate Racing Simulator V8 Supercars Australia 2 (Australia),Codemasters,Codemasters,"02004-04-23 April 23, 2004"
TOCA Race Driver 3,Codemasters,Codemasters,"02006-02-24 February 24, 2006"
ToeJam & Earl III: Mission to Earth,ToeJam & Earl Productions,Sega,"02003-03-07 March 07, 2003"
Tom and Jerry in War of the Whiskers,VIS Entertainment,NewKidCo,Unreleased
Tom Clancy's Ghost Recon,Red Storm Entertainment,Ubi Soft,"02002-12-06 December 06, 2002"
Tom Clancy's Ghost Recon 2,Red Storm Entertainment,Ubisoft,"02004-11-26 November 26, 2004"
Tom Clancy's Ghost Recon 2: Summit Strike,Red Storm Entertainment,Ubisoft,"02005-08-26 August 26, 2005"
Tom Clancy's Ghost Recon: Advanced Warfighter,Ubisoft,Ubisoft,"02006-03-17 March 17, 2006"
Tom Clancy's Ghost Recon: Island Thunder,Red Storm Entertainment,Ubisoft,"02003-09-05 September 05, 2003"
Tom Clancy's Rainbow Six 3,Ubisoft,Ubisoft,"02003-11-07 November 07, 2003"
Tom Clancy's Rainbow Six 3: Black Arrow,Ubisoft,Ubisoft,"02004-08-20 August 20, 2004"
Tom Clancy's Rainbow Six: Critical Hour,"Ubisoft Quebec , Red Storm Entertainment",Ubisoft,Unreleased
Tom Clancy's Rainbow Six: Lockdown,Red Storm Entertainment,Ubisoft,"02005-09-09 September 09, 2005"
Tom Clancy's Splinter Cell,Ubi Soft Montreal,Ubi Soft,"02002-11-29 November 29, 2002"
Tom Clancy's Splinter Cell: Chaos Theory,"Ubisoft Montreal , Ubisoft Annecy",Ubisoft,"02005-04-01 April 01, 2005"
Tom Clancy's Splinter Cell: Double Agent,Ubisoft,Ubisoft,"02006-10-26 October 26, 2006"
Tom Clancy's Splinter Cell: Pandora Tomorrow,Ubisoft,Ubisoft,"02004-03-26 March 26, 2004"
Tomb Raider: Legend,Crystal Dynamics,Eidos Interactive,"02006-04-07 April 07, 2006"
Tony Hawk's American Wasteland,Neversoft,Activision,"02005-10-28 October 28, 2005"
Tony Hawk's Pro Skater 2x,Neversoft,Activision,Unreleased
Tony Hawk's Pro Skater 3,Neversoft,Activision,"02002-03-14 March 14, 2002"
Tony Hawk's Pro Skater 4,Neversoft,Activision,"02002-11-15 November 15, 2002"
Tony Hawk's Project 8,Shaba Games,Activision,"02006-11-17 November 17, 2006"
Tony Hawk's Underground,Neversoft,Activision,"02003-11-12 November 12, 2003"
Tony Hawk's Underground 2,Neversoft,Activision,"02004-10-08 October 08, 2004"
Top Gear RPM Tuning RPM Tuning (EUR),Babylon Software,MC2 France,"02005-06-03 June 3, 2005"
Top Spin,PAM Development,Microsoft Game Studios,"02003-11-07 November 07, 2003"
Torino 2006,49 Games,2K Games,"02006-01-27 January 27, 2006"
Tork: Prehistoric Punk,Tiwak,Ubisoft,Unreleased
Total Club Manager 2004,"EA Canada , Budcat Creations",EA Sports,"02003-12-05 December 05, 2003"
Total Club Manager 2005,"EA Canada , Budcat Creations",EA Sports,"02004-10-29 October 29, 2004"
Total Immersion Racing,Razorworks,Empire Interactive,"02002-11-01 November 01, 2002"
Total Overdose: A Gunslinger's Tale in Mexico,Deadline Games,Eidos Interactive,"02005-09-16 September 16, 2005"
Totaled! Crash (PAL),Rage Software,Majesco Entertainment,"02002-06-07 June 07, 2002"
Touge R,"Cave , Nextech",Atlus,Unreleased
Tour de France,Konami,Konami,"02002-07-26 July 26, 2002"
Toxic Grind,Blue Shift,THQ,"02002-11-08 November 08, 2002"
TransWorld Snowboarding,Housemarque,Infogrames,"02002-11-15 November 15, 2002"
Transworld Surf,Angel Studios,Infogrames,"02002-03-14 March 14, 2002"
Triangle Again,"Kiki Co., Production I.G.",Kiki Co.,Unreleased
Triangle Again 2,Kiki Co.,Kiki Co.,Unreleased
Trigger Man,Point of View,Crave Entertainment,Unreleased
Triple Play 2002,Pandemic Studios,EA Sports,Unreleased
Trivial Pursuit Unhinged,Artech Studios,Atari,Unreleased
Tron 2.0 Killer App,Climax Group,Buena Vista Interactive,"02004-11-26 November 26, 2004"
True Crime: New York City,Luxoflux,Activision,"02005-11-25 November 25, 2005"
True Crime: Streets of LA,Luxoflux,Activision,"02005-11-07 November 07, 2005"
Turok: Evolution,Acclaim Studios Austin,Acclaim Entertainment,"02002-09-06 September 06, 2002"
Ty the Tasmanian Tiger,Krome Studios,EA Games,"02002-11-22 November 22, 2002"
Ty the Tasmanian Tiger 2: Bush Rescue,Krome Studios,EA Games,"02004-11-05 November 05, 2004"
Ty the Tasmanian Tiger 3: Night of the Quinkan,Krome Studios,Activision Value,"02006-02-03 February 03, 2006"
UEFA Champions League 2004-2005,EA Sports,EA Sports,"02005-02-04 February 04, 2005"
UEFA Euro 2004,EA Canada,EA Sports,"02004-05-07 May 07, 2004"
UFC: Tapout,DreamFactory,Crave Entertainment,"02002-09-20 September 20, 2002"
UFC: Tapout 2,DreamFactory,TDK Mediactive,Unreleased
Ultimate Beach Soccer Pro Beach Soccer (PAL),PAM Development,Wanadoo Edition DreamCatcher Interactive,"02003-11-10 November 10, 2003"
Ultimate Pro Pinball,Atomic Planet Entertainment,Empire Interactive,"02005-07-15 July 15, 2005"
Ultimate Spider-Man,Treyarch,Activision,"02005-10-14 October 14, 2005"
Ultra Bust-a-Move Ultra Puzzle Bobble (JP),Taito,Majesco Entertainment,"02006-05-19 May 19, 2006"
Umezawa Yukari no Igo Seminar,Success,Success,Unreleased
Unreal Championship,Digital Extremes,Infogrames,"02002-11-29 November 29, 2002"
Unreal Championship 2: The Liandri Conflict,Epic Games,Midway Games,"02005-04-22 April 22, 2005"
Unreal II: The Awakening,Tantalus Interactive,Atari,"02004-03-23 March 23, 2004"
Urban Chaos: Riot Response,Rocksteady Studios,Eidos Interactive,"02006-05-19 May 19, 2006"
Template:Sort,Maxis,EA Games,"02004-11-09 November 09, 2004"
V-Rally 3,Eden Studios,Infogrames,"02003-03-28 March 28, 2003"
Van Helsing,Saffire,Vivendi Universal Games,"02004-05-07 May 07, 2004"
Vexx,Acclaim Studios Austin,Acclaim Entertainment,"02003-04-04 April 04, 2003"
Vietcong: Purple Haze,Coyote,Gathering,"02004-09-18 September 18, 2004"
Virtual Pool: Tournament Edition,Celeris,Global Star Software,"02005-06-08 June 08, 2005"
Volvo: Drive For Life,Climax Group,Microsoft Game Studios,Unreleased
Voodoo Vince,Beep Industries,Microsoft Game Studios,"02003-10-17 October 17, 2003"
Wakeboarding Unleashed,Shaba Games,Activision,"02003-06-13 June 13, 2003"
Wallace & Gromit in Project Zoo,Frontier Developments,BAM! Entertainment,"02003-10-03 October 03, 2003"
Wallace & Gromit: The Curse of the Were-Rabbit,Frontier Developments,Konami,"02005-10-14 October 14, 2005"
Warpath,Digital Extremes,Groove Games,Unreleased
Template:Sort,Rockstar Toronto,Rockstar Games,"02005-10-24 October 24, 2005"
Whacked!,Presto Studios,Microsoft Game Studios,"02002-11-29 November 29, 2002"
Whiplash,Crystal Dynamics,Eidos Interactive,"02004-02-11 February 11, 2004"
Whiteout,Konami,Konami,Unreleased
The Wild Rings,Microsoft Game Studios,Microsoft Game Studios,Unreleased
WinBack 2: Project Poseidon,Cavia Inc.,Koei,"02006-06-15 June 15, 2006"
Wings of War,Silver Wish Games,Gathering,"02004-07-31 July 31, 2004"
Without Warning,CiRCLE,Capcom,"02005-10-28 October 28, 2005"
World Championship Poker,Crave Entertainment,Crave Entertainment,Unreleased
World Championship Poker 2: Featuring Howard Lederer,Crave Entertainment,Crave Entertainment,"02006-04-28 April 28, 2006"
World Championship Pool 2004,Blade Interactive,Jaleco Entertainment,"02004-06-25 June 25, 2004"
World Championship Rugby,Swordfish Studios,Acclaim Entertainment,"02004-04-08 April 08, 2004"
World Championship Snooker 2003,Blade Interactive,Codemasters,"02003-06-27 June 27, 2003"
World Championship Snooker 2004,Blade Interactive,Codemasters,"02004-06-25 June 25, 2004"
World Poker Tour,Coresoft,2K Sports,"02006-03-10 March 10, 2006"
World Racing,Synetic,TDK Mediactive,"02003-02-28 February 28, 2003"
World Racing 2,Synetic,Evolved Games,"02005-11-25 November 25, 2005"
World Series Baseball,Blueshift,Sega,Unreleased
World Series Baseball 2K3,Blueshift,Sega,Unreleased
World Series of Poker,Activision Value,Activision Value,"02006-02-24 February 24, 2006"
World Snooker Championship 2005,Blade Interactive,Sega,"02005-04-15 April 15, 2005"
World Soccer Winning Eleven 8 International Pro Evolution Soccer 4 (PAL),KCET,Konami,"02004-11-26 November 26, 2004"
World Soccer Winning Eleven 9 Pro Evolution Soccer 5 (PAL),KCET,Konami,"02006-10-02 October 02, 2006"
World War II Combat: Iwo Jima,Direct Action,Groove Games,Unreleased
World War II Combat: Road to Berlin,Direct Action,Groove Games,Unreleased
Worms 3D,Team17,Sega,"02003-10-31 October 31, 2003"
Worms 4: Mayhem,Team17,Codemasters & Majesco Entertainment,"02005-09-29 September 29, 2005"
Worms Forts: Under Siege,Team17,Sega,"02004-11-24 November 24, 2004"
Wrath Unleashed,The Collective,LucasArts,"02004-03-05 March 05, 2004"
Wreckless: The Yakuza Missions Double-STEAL (JP),Bunkasha Publishing,Activision,"02002-03-14 March 14, 2002"
WTA Tour Tennis Pro Tennis WTA Tour (PAL),Konami,Konami,"02002-09-13 September 13, 2002"
WWE Raw 2,Anchor,THQ,"02003-10-10 October 10, 2003"
WWE WrestleMania 21,Studio Gigante,THQ,"02005-05-27 May 27, 2005"
WWF RAW WWE RAW (PAL),Anchor,THQ,"02002-09-27 September 27, 2002"
X-Men Legends,Raven Software,Activision,"02004-10-22 October 22, 2004"
X-Men Legends II: Rise of Apocalypse,Raven Software,Activision,"02005-11-25 November 25, 2005"
X-Men: Next Dimension,Paradox Development,Activision,"02002-11-22 November 22, 2002"
X-Men: The Official Game,Z-Axis,Activision,"02006-05-19 May 19, 2006"
X2: Wolverine's Revenge,GenePool Software,Activision,"02003-04-17 April 17, 2003"
Xbox Music Mixer,WildTangent,Microsoft Game Studios,"02003-11-28 November 28, 2003"
XGRA: Extreme-G Racing Association,Acclaim Studios Cheltenham,Acclaim Entertainment,"02003-10-03 October 03, 2003"
Xiaolin Showdown,BottleRocket,Konami,"02007-06-29 June 29, 2007"
XIII,Ubisoft Paris,Ubisoft,"02003-11-28 November 28, 2003"
Xyanide,Playlogic,Playlogic,Unreleased
Yager,Yager Development,Kemco,"02003-05-23 May 23, 2003"
Yetisports Arctic Adventures,Pirate Games,JoWooD Productions,"02005-07-18 July 18, 2005"
Yonenaga Kunio no Shougi Seminar,Success,Success,Unreleased
Yourself!Fitness,Respondesign,Respondesign,Unreleased
Yu-Gi-Oh! The Dawn of Destiny,KCEJ,Konami,"02004-11-12 November 12, 2004"
Zapper: One Wicked Cricket,Blitz Games,Infogrames,"02003-03-14 March 14, 2003"
Zathura,High Voltage Software,2K Games,"02006-01-27 January 27, 2006"
ZillerNet,"Studio9, Taijin Media",Microsoft Game Studios,Unreleased
