Title,Developer(s),Publisher(s),Release date
Championship Manager: Season 01/02,Sports Interactive,Eidos Interactive,"02002-04-14 April 14, 2002"
Championship Manager: Season 02/03,Sports Interactive,Eidos Interactive,"02002-12-06 December 06, 2002"
Championship Manager 2006,Gusto Games,Eidos Interactive,"02006-05-12 May 12, 2006"
Championship Manager 5,Gusto Games,Eidos Interactive,"02005-05-13 May 13, 2005"
Charlie and the Chocolate Factory,High Voltage Software,Global Star Software,"02005-05-25 May 25, 2005"
Chase: Hollywood Stunt Driver,I-Imagine,BAM! Entertainment,"02002-10-17 October 17, 2002"
Chessmaster,Ubisoft,Ubisoft,Unreleased
Chicago Enforcer,Touchdown,Kemco,Unreleased
Chicken Little,Avalanche Software,Buena Vista Games,"02006-02-10 February 10, 2006"
Template:Sort,Traveller's Tales,Buena Vista Games,"02006-03-31 March 31, 2006"
Template:Sort,"Starbreeze Studios , Tigon Studios",Vivendi Universal Games,"02004-08-13 August 13, 2004"
Circus Maximus: Chariot Wars,Kodiak Interactive,Encore,"02002-06-28 June 28, 2002"
Classified: The Sentinel Crisis,Torus Games,Global Star Software,"02005-04-29 April 29, 2005"
Close Combat: First to Fight,Destineer,2K Games,"02005-04-25 April 25, 2005"
Club Football,Codemasters,Codemasters,"02003-10-10 October 10, 2003"
Club Football 2005,Codemasters,Codemasters,"02004-10-15 October 15, 2004"
Codename: Kids Next Door - Operation: V.I.D.E.O.G.A.M.E.,High Voltage Software,Global Star Software,"02005-12-02 December 02, 2005"
Cold Fear,Darkworks,Ubisoft,"02005-03-04 March 04, 2005"
Cold War,Mindware Studios,DreamCatcher Games,"02005-10-28 October 28, 2005"
Colin McRae Rally 04,Codemasters,Codemasters,"02003-09-19 September 19, 2003"
Colin McRae Rally 2005,Codemasters,Codemasters,"02004-10-31 October 31, 2004"
Colin McRae Rally 3,Codemasters,Codemasters,"02002-10-25 October 25, 2002"
College Hoops 2K6,Visual Concepts,2K Sports,Unreleased
College Hoops 2K7,Visual Concepts,2K Sports,Unreleased
Combat Elite: WWII Paratroopers,BattleBorne Entertainment,SouthPeak Interactive,Unreleased
